2016-09-01	9231	7051
2016-09-02	9617	7494
2016-09-03	9214	7975
2016-09-04	7936	6972
2016-09-05	8172	6753
2016-09-06	7528	7514
2016-09-07	8294	7135
2016-09-08	9178	7516
2016-09-09	11013	7167
2016-09-10	11583	7068
2016-09-11	10072	6339
2016-09-12	9244	5709
2016-09-13	9100	5678
2016-09-14	12992	5560
2016-09-15	13936	4594
2016-09-16	10186	4704
2016-09-17	9937	5088
2016-09-18	9874	5273
2016-09-19	9563	5613
2016-09-20	9085	5914
2016-09-21	8726	5738
2016-09-22	9432	6056
2016-09-23	10375	6305
2016-09-24	10357	6062
2016-09-25	9168	5272
2016-09-26	8967	4925
2016-09-27	8765	5053
2016-09-28	9510	5113
2016-09-29	10942	4854
2016-09-30	15664	4672
2016-10-01	16184	4697
2016-10-02	15115	4052
2016-10-03	13450	3888
2016-10-04	11566	3908
2016-10-05	10995	3925
2016-10-06	11072	4187
2016-10-07	11514	4071
2016-10-08	10265	4485
2016-10-09	9453	4984
2016-10-10	9280	4639
2016-10-11	8800	4703
2016-10-12	9501	4802
2016-10-13	8954	4523
2016-10-14	8218	4388
2016-10-15	8719	4272
2016-10-16	8850	3569
2016-10-17	8416	3420
2016-10-18	8289	3679
2016-10-19	8498	3690
2016-10-20	8311	3711
2016-10-21	8650	3464
2016-10-22	8484	3475
2016-10-23	6849	2972
2016-10-24	6262	2943
2016-10-25	6197	3050
2016-10-26	6637	2087
2016-10-27	6872	3386
2016-10-28	7288	3059
2016-10-29	7262	2793
2016-10-30	6449	2525
2016-10-31	6464	2478
2016-11-01	6592	3077
2016-11-02	6555	3144
2016-11-03	6956	3237
2016-11-04	8374	3166
2016-11-05	9237	2960
2016-11-06	8343	2760
2016-11-07	8558	2712
2016-11-08	7751	2687
2016-11-09	7729	3108
2016-11-10	7856	3033
2016-11-11	9647	2903
2016-11-12	9298	3017
2016-11-13	7033	2879
2016-11-14	6593	2726
2016-11-15	7477	2920
2016-11-16	7386	2832
2016-11-17	7294	2901
2016-11-18	9452	2913
2016-11-19	9844	3049
2016-11-20	8468	2726
2016-11-21	8205	2717
2016-11-22	7984	2659
2016-11-23	7695	2719
2016-11-24	7345	2793
2016-11-25	8456	2801
2016-11-26	8695	2924
2016-11-27	9057	2728
2016-11-28	7868	2812
2016-11-29	7905	2899
2016-11-30	8312	2466
2016-12-01	8958	3242
2016-12-02	9528	3315
2016-12-03	9448	3275
2016-12-04	8042	2857
2016-12-05	7383	2823
2016-12-06	7335	2938
2016-12-07	7483	2976
2016-12-08	7554	2940
2016-12-09	8208	2862
2016-12-10	8814	2611
2016-12-11	8347	2241
2016-12-12	6448	2029
2016-12-13	6187	2204
2016-12-14	6167	2063
2016-12-15	6406	2019
2016-12-16	7117	1716
2016-12-17	7201	1413
2016-12-18	6360	1227
2016-12-19	5607	1374
2016-12-20	5208	1512
2016-12-21	5428	1600
2016-12-22	5595	1537
2016-12-23	6472	1537
2016-12-24	7320	1484
2016-12-25	6269	1176
2016-12-26	5606	1194
2016-12-27	5173	1234
2016-12-28	4585	1293
2016-12-29	4689	1277
2016-12-30	6601	1340
2016-12-31	7093	1287
2017-01-01	5993	873
2017-01-02	4899	843
2017-01-03	4538	1127
2017-01-04	4558	1460
2017-01-05	4509	1304
2017-01-06	4965	1291
2017-01-07	3740	1053
2017-01-08	3474	906
2017-01-09	3613	911
2017-01-10	3294	930
2017-01-11	3322	895
2017-01-12	3310	887
2017-01-13	3425	832
2017-01-14	3447	799
2017-01-15	3028	588
2017-01-16	2990	618
2017-01-17	3217	707
2017-01-18	3193	677
2017-01-19	3232	646
2017-01-20	3403	618
2017-01-21	3227	596
2017-01-22	2953	584
2017-01-23	3100	528
2017-01-24	3482	624
2017-01-25	3413	609
2017-01-26	3453	445
2017-01-27	3246	247
2017-01-28	3285	253
2017-01-29	3763	338
2017-01-30	3845	356
2017-01-31	3956	382
2017-02-01	3953	415
2017-02-02	3940	507
2017-02-03	3950	567
2017-02-04	3629	757
2017-02-05	3596	829
2017-02-06	3581	851
2017-02-07	3315	1007
2017-02-08	3256	1081
2017-02-09	3041	1102
2017-02-10	2904	908
2017-02-11	2793	903
2017-02-12	2726	981
2017-02-13	2758	935
2017-02-14	2747	986
2017-02-15	2694	1007
2017-02-16	2856	1055
2017-02-17	2990	1094
2017-02-18	3007	1029
2017-02-19	2829	965
2017-02-20	2620	997
2017-02-21	2670	1035
2017-02-22	2887	1042
2017-02-23	2743	1091
2017-02-24	2813	892
2017-02-25	2707	932
2017-02-26	2364	852
2017-02-27	2236	835
2017-02-28	2115	923
